<number of tasks>
65
<mated-station number>
7
<task times>
1 49
2 49
3 71
4 26
5 42
6 30
7 167
8 91
9 52
10 153
11 68
12 52
13 135
14 54
15 57
16 151
17 39
18 194
19 35
20 119
21 34
22 38
23 104
24 84
25 113
26 72
27 62
28 272
29 89
30 49
31 11
32 45
33 54
34 106
35 132
36 52
37 157
38 109
39 32
40 32
41 52
42 193
43 34
44 34
45 97
46 37
47 25
48 89
49 27
50 50
51 46
52 46
53 55
54 118
55 47
56 164
57 113
58 69
59 30
60 25
61 106
62 23
63 118
64 155
65 65
<task directions>
1 E
2 E
3 E
4 E
5 E
6 E
7 R
8 R
9 L
10 L
11 E
12 E
13 E
14 E
15 E
16 L
17 L
18 R
19 R
20 E
21 E
22 E
23 E
24 E
25 L
26 R
27 R
28 R
29 L
30 L
31 E
32 E
33 E
34 E
35 R
36 E
37 E
38 E
39 L
40 R
41 E
42 E
43 E
44 R
45 L
46 E
47 L
48 L
49 E
50 E
51 R
52 E
53 L
54 E
55 R
56 E
57 E
58 L
59 R
60 E
61 R
62 E
63 L
64 L
65 E
<precedence relations>
1,3
2,3
3,4
3,23
4,5
4,6
4,7
4,9
4,11
4,12
4,25
4,26
4,27
4,41
4,45
4,49
5,14
6,14
7,8
8,14
9,10
10,14
11,14
12,14
13,14
14,15
14,18
14,20
14,22
15,16
16,17
17,31
18,19
19,21
20,21
21,31
22,31
23,24
24,31
25,31
26,31
27,28
28,50
29,50
30,50
31,32
31,36
31,51
31,52
31,53
31,54
31,55
31,56
31,58
31,59
31,60
31,61
31,62
32,33
33,34
34,35
35,50
36,37
37,38
38,39
38,40
39,50
40,50
41,42
42,43
43,62
44,46
45,46
46,47
47,48
48,50
49,50
51,65
52,65
53,65
54,65
55,65
56,57
57,65
58,65
59,65
60,65
61,65
62,63
63,64
64,65
<end>
